,Graduado,Calificacion_Promedio,Tareas_Puntuales,Tareas_No_Entregadas,Tareas_Retrasadas,Total_Tareas,Dias_Conectado,Minutos_Promedio,Minutos_Total,clase,Año,Mes,CICLO,Org
81,No,85.98888888888891,9.0,0.0,0.0,9.0,34.0,253.8561764705883,8631.110000000002,Diseño Instruccional para Programas a Distancia,2017,6,0.75,EDU
82,No,39.333,4.0,4.0,2.0,10.0,9.0,34.895555555555546,314.05999999999995,Contabilidad Financiera y Presupuestos,2017,6,0.75,EDU
83,Si,96.36363636363636,11.0,0.0,0.0,11.0,94.0,242.99968085106389,22841.970000000005,Mercadotecnia Estratégica,2017,6,0.75,AN
84,Si,85.45454545454545,11.0,0.0,0.0,11.0,44.0,103.2775,4544.21,Mercadotecnia Estratégica,2017,6,0.75,MER
85,Si,87.0,9.0,0.0,1.0,10.0,19.0,248.16578947368424,4715.1500000000015,Administración de Proyectos,2017,6,0.75,AN
86,No,23.181818181818183,4.0,6.0,1.0,11.0,14.0,142.57,1995.98,Mercadotecnia Estratégica,2017,6,0.75,MER
87,Si,84.63111111111111,9.0,0.0,0.0,9.0,87.0,259.7114942528736,22594.9,Comunicación en Medios Digitales,2018,4,1.5,MER
88,Si,90.9090909090909,11.0,0.0,0.0,11.0,67.0,216.1214925373135,14480.140000000005,Mercadotecnia Estratégica,2017,6,0.75,AN
89,Si,93.33363636363636,11.0,0.0,0.0,11.0,48.0,179.1591666666667,8599.640000000001,Coaching,2017,6,0.75,RH
90,No,14.0,2.0,8.0,0.0,10.0,3.0,53.90666666666666,161.72,Administración de Proyectos,2017,6,0.75,FZ
91,Si,78.14777777777778,8.0,0.0,1.0,9.0,57.0,159.96578947368417,9118.049999999996,Análisis Económico y Modelos de Decisión,2017,7,0.875,AN
92,No,58.18181818181818,7.0,4.0,0.0,11.0,28.0,91.20392857142859,2553.71,Coaching,2017,6,0.75,RH
93,Si,92.667,10.0,0.0,0.0,10.0,79.0,342.0853164556963,27024.740000000005,Contabilidad Financiera y Presupuestos,2017,6,0.75,EDU
94,Si,96.0,10.0,0.0,0.0,10.0,60.0,263.4555,15807.33,Administración de Proyectos,2017,6,0.75,AN
95,Si,92.69230769230771,12.0,0.0,1.0,13.0,72.0,399.87652777777777,28791.11,Creativity Workshop: pensamiento lateral aplicado,2017,7,0.875,AN
96,Si,80.92555555555556,9.0,0.0,0.0,9.0,59.0,248.0274576271186,14633.62,Estrategias de Enseñanza,2017,6,0.75,EDU
97,Si,98.88888888888887,9.0,0.0,0.0,9.0,52.0,228.60269230769237,11887.340000000002,Estrategias de Enseñanza,2017,6,0.75,EDU
98,No,35.0,4.0,6.0,0.0,10.0,26.0,483.31653846153847,12566.23,Administración de Proyectos,2017,6,0.75,FZ
99,No,58.765555555555565,6.0,3.0,0.0,9.0,16.0,195.814375,3133.03,Diseño Instruccional para Programas a Distancia,2017,6,0.75,EDU
100,Si,80.38461538461539,11.0,2.0,0.0,13.0,52.0,147.23903846153846,7656.4299999999985,Creativity Workshop: pensamiento lateral aplicado,2017,7,0.875,EDU
101,Si,81.53846153846153,11.0,2.0,0.0,13.0,56.0,146.12375,8182.9299999999985,Creativity Workshop: pensamiento lateral aplicado,2017,7,0.875,EDU
102,Si,92.27272727272728,11.0,0.0,0.0,11.0,81.0,336.2371604938271,27235.209999999995,Evaluación del Aprendizaje,2017,7,0.875,EDU
103,Si,80.0,11.0,2.0,0.0,13.0,93.0,289.9644086021506,26966.69000000001,Creativity Workshop: pensamiento lateral aplicado,2017,7,0.875,AN
104,No,66.00125,7.0,1.0,0.0,8.0,12.0,111.41583333333334,1336.99,Cultura Financiera,2017,7,0.875,FZ
105,Si,88.8888888888889,9.0,0.0,0.0,9.0,63.0,444.4701587301585,28001.619999999995,Análisis Económico y Modelos de Decisión,2017,7,0.875,AN
106,No,84.23076923076924,12.0,1.0,0.0,13.0,20.0,256.0135000000001,5120.270000000001,Creativity Workshop: pensamiento lateral aplicado,2017,7,0.875,AN
107,No,84.44444444444444,9.0,0.0,0.0,9.0,21.0,331.4909523809523,6961.309999999999,Análisis Económico y Modelos de Decisión,2017,7,0.875,AN
108,No,85.55555555555556,7.0,0.0,2.0,9.0,25.0,474.1096,11852.739999999998,Análisis Económico y Modelos de Decisión,2017,7,0.875,AN
109,Si,91.85222222222221,9.0,0.0,0.0,9.0,47.0,145.5227659574469,6839.570000000002,Comunicación en Medios Digitales,2017,7,0.875,MER
110,Si,85.37,8.0,0.0,1.0,9.0,65.0,231.9378461538461,15075.959999999995,Análisis Económico y Modelos de Decisión,2017,7,0.875,AN
111,Si,90.23076923076924,13.0,0.0,0.0,13.0,64.0,150.70515625000004,9645.13,Creativity Workshop: pensamiento lateral aplicado,2017,7,0.875,AN
112,Si,86.0,10.0,0.0,0.0,10.0,89.0,203.1316853932584,18078.72,Liderazgo y Motivación,2017,8,1.0,EDU
113,Si,92.59222222222222,8.0,0.0,1.0,9.0,60.0,172.1465,10328.79,Análisis Económico y Modelos de Decisión,2017,7,0.875,AN
114,No,80.0,8.0,1.0,1.0,10.0,136.0,350.75926470588234,47703.26000000001,Calidad,2017,7,0.875,AN
115,No,40.37111111111111,4.0,4.0,1.0,9.0,57.0,218.42719298245618,12450.350000000002,Comunicación en Medios Digitales,2017,7,0.875,MER
116,No,93.1818181818182,11.0,0.0,0.0,11.0,19.0,348.72526315789474,6625.78,Evaluación del Aprendizaje,2017,7,0.875,EDU
117,Si,75.92666666666666,9.0,0.0,0.0,9.0,115.0,286.7917391304347,32981.04999999999,Comunicación en Medios Digitales,2017,7,0.875,MER
118,Si,96.36363636363636,11.0,0.0,0.0,11.0,59.0,432.2220338983052,25501.10000000001,Evaluación del Aprendizaje,2017,7,0.875,EDU
119,Si,92.36363636363636,11.0,0.0,0.0,11.0,65.0,316.48984615384614,20571.840000000004,Orientación al Logro,2017,7,0.875,AN
120,Si,95.0,10.0,0.0,0.0,10.0,102.0,243.9271568627451,24880.57,Calidad,2017,7,0.875,AN
121,Si,84.0909090909091,11.0,0.0,0.0,11.0,63.0,287.51206349206365,18113.260000000006,Evaluación del Aprendizaje,2017,7,0.875,EDU
122,Si,81.81818181818181,11.0,0.0,0.0,11.0,42.0,345.2214285714286,14499.3,Evaluación del Aprendizaje,2017,7,0.875,EDU
123,Si,93.334,10.0,0.0,0.0,10.0,115.0,350.17860869565226,40270.540000000015,Gestión de Centros Educativos,2017,7,0.875,EDU
124,Si,92.166,10.0,0.0,0.0,10.0,75.0,158.43213333333333,11882.409999999998,Gestión de Centros Educativos,2017,7,0.875,EDU
125,No,83.6225,8.0,0.0,0.0,8.0,37.0,257.3997297297298,9523.790000000005,Cultura Financiera,2017,7,0.875,FZ
126,Si,94.44444444444444,8.0,0.0,1.0,9.0,97.0,194.30268041237113,18847.36,Análisis Económico y Modelos de Decisión,2017,7,0.875,AN
127,No,90.0,11.0,0.0,0.0,11.0,73.0,245.88082191780828,17949.300000000007,Evaluación del Aprendizaje,2017,7,0.875,EDU
128,Si,86.6,10.0,0.0,0.0,10.0,113.0,226.3730088495574,25580.149999999994,La Tecnología en la Educación,2017,8,1.0,EDU
129,Si,90.72727272727272,11.0,0.0,0.0,11.0,49.0,128.01530612244895,6272.749999999997,Orientación al Logro,2017,7,0.875,AN
130,No,0.0,0.0,10.0,0.0,10.0,3.0,337.7633333333334,1013.29,Gestión de Centros Educativos,2017,7,0.875,EDU
131,Si,79.23076923076924,11.0,2.0,0.0,13.0,78.0,204.94397435897437,15985.63,Creativity Workshop: pensamiento lateral aplicado,2017,7,0.875,AN
132,No,17.727272727272727,3.0,8.0,0.0,11.0,12.0,238.01166666666663,2856.14,Evaluación del Aprendizaje,2017,7,0.875,EDU
133,Si,74.9988888888889,9.0,0.0,0.0,9.0,115.0,321.74573913043486,37000.76000000002,Comunicación en Medios Digitales,2017,7,0.875,MER
134,Si,88.676,10.0,0.0,0.0,10.0,101.0,227.61118811881192,22988.730000000003,La Tecnología en la Educación,2017,8,1.0,EDU
135,No,70.968,10.0,0.0,0.0,10.0,41.0,80.51756097560977,3301.2200000000007,Liderazgo y Motivación,2017,8,1.0,MER
136,Si,89.66625,8.0,0.0,0.0,8.0,113.0,90.76106194690264,10255.999999999996,Finanzas para no Financieros,2017,8,1.0,FZ
137,No,90.905,10.0,0.0,0.0,10.0,24.0,509.4995833333333,12227.99,La Tecnología en la Educación,2017,8,1.0,EDU
138,No,81.467,10.0,0.0,0.0,10.0,30.0,94.494,2834.82,Liderazgo y Motivación,2017,8,1.0,AN
139,No,9.0,0.0,9.0,1.0,10.0,18.0,340.28166666666664,6125.069999999999,Liderazgo y Motivación,2017,8,1.0,AN
140,No,12.0,1.0,8.0,1.0,10.0,9.0,227.22777777777776,2045.05,Liderazgo y Motivación,2017,8,1.0,RH
141,No,0.0,0.0,9.0,1.0,10.0,8.0,77.2325,617.86,Liderazgo y Motivación,2017,8,1.0,AN
142,No,44.444444444444436,0.0,2.0,7.0,9.0,23.0,218.58782608695657,5027.520000000001,Crecimiento y Desarrollo Humano,2018,1,1.125,EDU
143,No,4.0,1.0,9.0,0.0,10.0,3.0,508.05,1524.15,La Tecnología en la Educación,2017,8,1.0,EDU
144,No,91.186,10.0,0.0,0.0,10.0,67.0,166.40656716417914,11149.240000000002,La Tecnología en la Educación,2017,8,1.0,EDU
145,No,54.7,7.0,3.0,0.0,10.0,20.0,76.954,1539.08,Liderazgo y Motivación,2017,8,1.0,AN
146,No,72.77777777777777,9.0,0.0,0.0,9.0,41.0,64.7609756097561,2655.1999999999994,Planeación Estratégica,2018,1,1.125,AN
147,No,19.25888888888889,2.0,7.0,0.0,9.0,8.0,227.08125,1816.65,Gestión de las Adquisiciones,2018,1,1.125,AN
148,Si,89.333,10.0,0.0,0.0,10.0,29.0,188.38862068965526,5463.270000000001,Liderazgo y Motivación,2017,8,1.0,AN
149,Si,72.8,7.0,0.0,3.0,10.0,63.0,79.31952380952379,4997.129999999999,Liderazgo y Motivación,2017,8,1.0,EDU
150,No,81.499,9.0,1.0,0.0,10.0,28.0,310.74499999999995,8700.859999999999,Liderazgo y Motivación,2017,8,1.0,AN
151,No,44.667,2.0,4.0,4.0,10.0,19.0,355.9768421052632,6763.56,Liderazgo y Motivación,2017,8,1.0,EDU
152,No,1.0,0.0,9.0,1.0,10.0,5.0,352.96,1764.8,Liderazgo y Motivación,2017,8,1.0,EDU
153,No,47.333,6.0,4.0,0.0,10.0,52.0,205.0640384615384,10663.329999999998,La Tecnología en la Educación,2017,8,1.0,EDU
154,Si,85.666,10.0,0.0,0.0,10.0,126.0,234.61396825396827,29561.36,Liderazgo y Motivación,2017,8,1.0,AN
155,No,0.0,0.0,10.0,0.0,10.0,8.0,253.26125,2026.09,Liderazgo y Motivación,2017,8,1.0,EDU
156,No,67.366,8.0,2.0,0.0,10.0,16.0,295.401875,4726.4299999999985,Liderazgo y Motivación,2017,8,1.0,MER
157,No,79.09899999999999,9.0,1.0,0.0,10.0,19.0,103.7021052631579,1970.34,Liderazgo y Motivación,2017,8,1.0,AN
158,Si,92.667,10.0,0.0,0.0,10.0,94.0,432.03989361702116,40611.749999999985,Liderazgo y Motivación,2017,8,1.0,AN
159,Si,79.90666666666667,9.0,0.0,0.0,9.0,124.0,168.86911290322573,20939.76999999999,Gestión de las Adquisiciones,2018,1,1.125,AN
160,Si,80.779,10.0,0.0,0.0,10.0,69.0,143.0415942028986,9869.870000000004,La Tecnología en la Educación,2017,8,1.0,EDU
161,Si,89.867,10.0,0.0,0.0,10.0,150.0,248.25766666666664,37238.65,Liderazgo y Motivación,2017,8,1.0,AN
162,No,0.0,0.0,9.0,0.0,9.0,2.0,152.185,304.37,Planeación Estratégica,2018,1,1.125,AN
163,No,90.88888888888887,8.0,0.0,1.0,9.0,42.0,282.46547619047624,11863.55,Crecimiento y Desarrollo Humano,2018,1,1.125,EDU
164,Si,95.55555555555556,9.0,0.0,0.0,9.0,63.0,205.22285714285712,12929.04,Gestión de las Adquisiciones,2018,1,1.125,AN
165,No,0.0,0.0,8.0,1.0,9.0,5.0,14.451999999999998,72.25999999999998,Planeación Estratégica,2018,1,1.125,FZ
166,No,62.5,6.0,2.0,0.0,8.0,30.0,478.91666666666674,14367.500000000002,Nuevas Herramientas para Enseñar,2018,1,1.125,EDU
167,Si,93.16666666666669,9.0,0.0,0.0,9.0,101.0,102.26861386138613,10329.13,Crecimiento y Desarrollo Humano,2018,1,1.125,EDU
168,No,22.962222222222227,3.0,5.0,1.0,9.0,23.0,267.30652173913046,6148.050000000001,Estrategias de Enseñanza,2018,3,1.375,EDU
169,Si,96.29666666666668,9.0,0.0,0.0,9.0,39.0,215.2525641025641,8394.849999999999,Planeación Estratégica,2018,1,1.125,AN
170,Si,92.22222222222223,9.0,0.0,0.0,9.0,117.0,325.84880341880347,38124.31000000001,Planeación Estratégica,2018,1,1.125,AN
171,No,39.62888888888889,5.0,4.0,0.0,9.0,26.0,437.68230769230775,11379.740000000002,Planeación Estratégica,2018,1,1.125,EDU
172,No,70.0,6.0,1.0,2.0,9.0,46.0,178.46021739130435,8209.170000000002,Empowerment,2018,1,1.125,AN
173,Si,90.2,10.0,0.0,0.0,10.0,96.0,172.97447916666667,16605.550000000007,Coaching,2018,8,2.0,AN
174,Si,87.03666666666666,9.0,0.0,0.0,9.0,43.0,442.9327906976744,19046.11,Gestión de las Adquisiciones,2018,1,1.125,AN
175,Si,92.64777777777779,9.0,0.0,0.0,9.0,67.0,157.36925373134332,10543.74,Crecimiento y Desarrollo Humano,2018,1,1.125,EDU
176,Si,73.51777777777778,9.0,0.0,0.0,9.0,88.0,110.7225,9743.58,Gestión de las Adquisiciones,2018,1,1.125,AN
177,Si,86.66666666666669,9.0,0.0,0.0,9.0,64.0,69.79656250000001,4466.980000000001,Planeación Estratégica,2018,1,1.125,AN
178,Si,94.07444444444445,6.0,0.0,3.0,9.0,68.0,181.8820588235294,12367.98,Planeación Estratégica,2018,1,1.125,AN
179,Si,85.74,9.0,0.0,0.0,9.0,82.0,249.34024390243903,20445.9,Planeación Estratégica,2018,1,1.125,AN
180,No,96.66666666666669,9.0,0.0,0.0,9.0,42.0,288.82119047619045,12130.49,Sistemas de Información de Mercadotecnia,2018,1,1.125,MER
181,No,32.59222222222222,3.0,6.0,0.0,9.0,9.0,122.97444444444449,1106.7700000000002,Sistemas de Información de Mercadotecnia,2018,1,1.125,MER
182,Si,92.59222222222222,9.0,0.0,0.0,9.0,139.0,274.5421582733812,38161.35999999999,Sistemas de Información de Mercadotecnia,2018,1,1.125,MER
183,No,98.33333333333331,9.0,0.0,0.0,9.0,100.0,242.7843000000001,24278.43000000001,Empowerment,2018,1,1.125,AN
184,Si,93.05555555555556,9.0,0.0,0.0,9.0,78.0,220.9564102564103,17234.600000000002,Crecimiento y Desarrollo Humano,2018,1,1.125,EDU
185,No,7.777777777777778,0.0,8.0,1.0,9.0,2.0,54.37000000000001,108.74,Planeación Estratégica,2018,1,1.125,AN
186,Si,85.74111111111111,9.0,0.0,0.0,9.0,194.0,552.8132474226803,107245.77,Planeación Estratégica,2018,1,1.125,AN
187,No,88.66666666666669,5.0,0.0,4.0,9.0,17.0,258.3494117647058,4391.939999999999,Crecimiento y Desarrollo Humano,2018,1,1.125,EDU
188,No,61.111111111111114,7.0,2.0,0.0,9.0,33.0,149.76969696969695,4942.4,Evaluación de Instituciones Educativos,2018,1,1.125,EDU
189,Si,90.55555555555556,9.0,0.0,0.0,9.0,72.0,183.10902777777775,13183.85,Trabajo en Equipo,2018,2,1.25,AN
190,No,98.57142857142857,7.0,0.0,0.0,7.0,17.0,300.17529411764707,5102.980000000001,Estrategias de Aprendizaje en Educación a Distancia,2018,2,1.25,EDU
191,Si,84.62888888888891,9.0,0.0,0.0,9.0,84.0,152.51380952380947,12811.159999999994,Planeación Estratégica,2018,1,1.125,EDU
192,Si,89.63,8.0,0.0,1.0,9.0,126.0,229.08190476190484,28864.32000000001,Finanzas para el Manejo de Marcas,2018,2,1.25,MER
193,No,28.88888888888889,4.0,5.0,0.0,9.0,11.0,229.32999999999996,2522.629999999999,Toma de Decisiones,2018,2,1.25,EDU
194,Si,97.03666666666666,9.0,0.0,0.0,9.0,53.0,198.54169811320756,10522.71,Trabajo en Equipo,2018,2,1.25,RH
